"TOA5","CR1000XSeries - new","CR1000X","21479","CR1000X.Std.04.02","CPU:JW_wx_v1.CR1X","24600","Hourly"
"TIMESTAMP","RECORD","BattV_Min","AirTC_Avg","RH","DT_Avg","Q_Avg","TCDT_Avg","DBTCDT_Avg","WS_ms_Avg","WindDir","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","BP_mbar_Avg","SWin_Avg","SWout_Avg","LWin_Avg","LWout_Avg","SWnet_Avg","LWnet_Avg","SWalbedo_Avg","NR_Avg","VWC_5cm_Avg","Ka_5cm_Avg","T_5cm_Avg","BulkEC_5cm_Avg","VWC_10cm_Avg","Ka_10cm_Avg","T_10cm_Avg","BulkEC_10cm_Avg","VWC_20cm_Avg","Ka_20cm_Avg","T_20cm_Avg","BulkEC_20cm_Avg","VWC_30cm_Avg","Ka_30cm_Avg","T_30cm_Avg","BulkEC_30cm_Avg","VWC_40cm_Avg","Ka_40cm_Avg","T_40cm_Avg","BulkEC_40cm_Avg","VWC_50cm_Avg","Ka_50cm_Avg","T_50cm_Avg","BulkEC_50cm_Avg"
"TS","RN","Volts","Deg C","%","","","","","meters/second","degrees","meters/second","Deg","Deg","mbar","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m"
"","","Min","Avg","Smp","Avg","Avg","Avg","Avg","Avg","Smp","WVc","WVc","WVc","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2021-05-20 18:00:00",2996,13.99,11.27,34.6,1.824,192,1.861,0.639,1.858,183.8,1.858,189.7,19.6,703.9824,698,237.2,266,328.4,461.1,-62.48,0.34,398.6,0,1.764,0.024,0,0,2.011,0.067,0,0.095,5.663,0.067,0,0.004,2.503,0.144,0,0,1.655,0.259,0,0,2.311,0.316,0
"2021-05-20 19:00:00",2997,13.99,12.43,26.98,1.834,193.3,1.876,0.624,2.014,277.5,2.014,197.7,25.51,703.7128,1008,348.3,261.5,330.2,660.5,-68.92,0.346,591.6,0,2.014,0.029,0,0,2.077,0.067,0,0.104,6.058,0.067,0,0.004,2.506,0.144,0,0,1.688,0.259,0,0,2.296,0.317,0
"2021-05-20 20:00:00",2998,13.96,13.51,26.9,1.844,188.9,1.889,0.611,1.815,197.9,1.815,188.5,33.09,703.4,998,348.2,262.1,330.7,649,-68.74,0.35,580.2,0,2.109,0.029,0,0,2.118,0.067,0,0.108,6.239,0.067,0,0.006,2.538,0.144,0,0,1.665,0.259,0,0,2.272,0.321,0
"2021-05-20 21:00:00",2999,13.96,12.39,31.19,1.857,202.4,1.899,0.601,1.227,238.4,1.227,196.3,30.51,702.902,173.4,67.01,307.7,326.5,106.4,-18.23,0.384,88.1,0,1.95,0.024,0,0,2.116,0.067,0,0.112,6.383,0.067,0,0.007,2.588,0.144,0,0,1.652,0.259,0,0,2.297,0.322,0
"2021-05-20 22:00:00",3000,13.99,12.06,29.07,1.86,196.1,1.901,0.599,1.461,216.3,1.461,210.1,40.64,702.8015,548.4,193.7,313.1,328.8,356.3,-15.52,0.362,340.8,0,1.848,0.029,0,0,2.066,0.067,0,0.11,6.319,0.067,0,0.008,2.603,0.144,0,0,1.675,0.259,0,0,2.32,0.321,0
"2021-05-20 23:00:00",3001,13.96,13.25,22.82,1.865,192.4,1.91,0.59,1.772,160.3,1.772,193.9,46.79,702.5166,461.6,169.1,283.3,328.3,288.4,-44.93,0.37,243.5,0,1.821,0.029,0,0,2.047,0.067,0,0.111,6.337,0.067,0,0.008,2.607,0.144,0,0,1.709,0.259,0,0,2.333,0.316,0
"2021-05-21 00:00:00",3002,13.96,12.83,27.5,1.874,185.9,1.918,0.582,1.905,190.1,1.905,197.2,26.14,702.3545,300.5,110.1,289.9,327.3,190.1,-37.14,0.368,152.9,0,1.807,0.029,0,0,2.026,0.067,0,0.11,6.299,0.067,0,0.008,2.618,0.144,0,0,1.706,0.259,0,0,2.358,0.316,0
"2021-05-21 01:00:00",3003,13.98,12.64,31.22,1.881,185.9,1.924,0.576,1.475,220.7,1.475,203.6,33.01,702.4438,194.1,55.17,261,325.9,138.9,-64.7,0.326,74.18,0,1.821,0.029,0,0,2.012,0.067,0,0.11,6.302,0.067,0,0.007,2.593,0.144,0,0,1.69,0.259,0,0,2.328,0.316,0
"2021-05-21 02:00:00",3004,13.21,10.87,40.76,1.888,184.1,1.925,0.575,0.79,207.1,0.79,219.3,30.24,702.5216,40.66,14.32,269.2,323.7,26.35,-54,0.343,-27.65,0,1.78,0.029,0,0,2.017,0.067,0,0.109,6.262,0.067,0,0.009,2.644,0.144,0,0,1.685,0.259,0,0,2.335,0.316,0
"2021-05-21 03:00:00",3005,12.99,4.931,59.62,1.905,186.3,1.922,0.578,0.466,238.3,0.466,243.1,21.81,702.7585,0.437,0.328,243.5,316.9,0.116,-72.65,0.057,-72.53,0,1.785,0.029,0,0,1.983,0.067,0,0.108,6.238,0.067,0,0.009,2.636,0.144,0,0,1.711,0.259,0,0,2.331,0.316,0
"2021-05-21 04:00:00",3006,12.92,2.152,69.84,1.912,187.5,1.919,0.581,0.604,207.8,0.604,253.2,17.36,703.0579,-1.312,0.002,238.7,311.3,-1.323,-72.05,-0.009,-73.38,0,1.783,0.029,0,0,2.008,0.067,0,0.108,6.21,0.067,0,0.008,2.6,0.144,0,0,1.704,0.249,0,0,2.31,0.316,0
"2021-05-21 05:00:00",3007,12.88,1.179,70.39,1.915,186.6,1.919,0.581,0.746,256.9,0.746,253.2,14.69,703.3425,-1.201,0.023,237.4,307.4,-1.224,-69.9,-0.015,-71.13,0,1.749,0.029,0,0,1.989,0.067,0,0.106,6.117,0.067,0,0.008,2.602,0.144,0,0,1.677,0.245,0,0,2.328,0.316,0
"2021-05-21 06:00:00",3008,12.84,0.61,66.53,1.916,186.5,1.919,0.581,0.526,268.9,0.526,257.7,25.84,703.6834,-1.076,0.027,237.4,304.1,-1.098,-67.24,-0.032,-68.34,0,1.767,0.029,0,0,1.989,0.067,0,0.106,6.13,0.067,0,0.008,2.609,0.144,0,0,1.69,0.249,0,0,2.337,0.316,0
"2021-05-21 07:00:00",3009,12.82,0.984,66.44,1.917,184.6,1.92,0.58,0.664,257.5,0.664,252.1,24.94,703.6053,-1.099,0.038,237.6,302.8,-1.122,-65.7,-0.057,-66.82,0,1.779,0.029,0,0,1.969,0.067,0,0.104,6.036,0.067,0,0.008,2.601,0.144,0,0,1.694,0.254,0,0,2.29,0.316,0
"2021-05-21 08:00:00",3010,12.8,0.236,69.69,1.919,185.1,1.92,0.58,0.62,244,0.62,251.4,18.92,703.7772,-1.069,0.022,240.1,300.9,-1.087,-61.62,-0.035,-62.71,0,1.77,0.029,0,0,1.972,0.067,0,0.102,5.943,0.067,0,0.007,2.575,0.144,0,0,1.649,0.254,0,0,2.314,0.316,0
"2021-05-21 09:00:00",3011,12.77,-0.439,73.89,1.921,184.4,1.919,0.581,0.473,209.6,0.473,248.1,20.39,703.7767,-0.994,-0.001,241.6,298.7,-0.996,-58,-0.002,-58.99,0,1.736,0.024,0,0,1.983,0.067,0,0.101,5.924,0.067,0,0.006,2.564,0.144,0,0,1.69,0.24,0,0,2.316,0.312,0
"2021-05-21 10:00:00",3012,12.75,-0.207,53.32,1.919,183.7,1.918,0.582,0.559,181.4,0.559,243.5,31.24,703.7198,-0.305,0.149,263.8,301.3,-0.475,-38.24,0.156,-38.72,0,1.728,0.029,0,0,1.965,0.067,0,0.099,5.823,0.067,0,0.007,2.594,0.144,0,0,1.638,0.24,0,0,2.236,0.312,0
"2021-05-21 11:00:00",3013,12.74,4.038,65.58,1.908,184,1.922,0.578,0.28,274.7,0.28,257.3,29.36,703.2678,-0.804,0.042,275,308.6,-0.815,-33,0.017,-33.81,0,1.741,0.019,0,0,1.995,0.067,0,0.097,5.737,0.067,0,0.005,2.521,0.144,0,0,1.671,0.245,0,0,2.294,0.312,0
"2021-05-21 12:00:00",3014,12.73,1.956,69.26,1.914,182.8,1.921,0.579,0.692,240.4,0.692,238.3,19.2,704.2305,0.667,0.155,279.5,309.4,0.511,-29.51,0.06,-29,0,1.736,0.024,0,0,1.952,0.067,0,0.097,5.731,0.067,0,0.005,2.537,0.144,0,0,1.651,0.245,0,0.001,2.331,0.316,0
"2021-05-21 13:00:00",3015,12.74,0.78,70.18,1.917,183.1,1.92,0.58,0.431,272.2,0.431,252.3,18.69,704.3547,23.01,9.03,242.8,304,13.91,-61.31,0.403,-47.4,0,1.745,0.029,0,0,1.961,0.067,0,0.096,5.698,0.067,0,0.006,2.557,0.144,0,0,1.717,0.245,0,0,2.337,0.311,0
"2021-05-21 14:00:00",3016,13.1,4.263,55.75,1.905,183,1.92,0.58,0.338,205.1,0.338,225.4,25.68,704.6227,108.9,44.14,256.4,316,64.81,-58.92,0.415,5.887,0,1.728,0.029,0,0,1.963,0.067,0,0.095,5.661,0.067,0,0.005,2.521,0.144,0,0,1.662,0.249,0,0,2.307,0.307,0
"2021-05-21 15:00:00",3017,14.57,8.25,33.39,1.891,188.9,1.92,0.58,0.653,144.5,0.653,189.4,22.75,704.6737,269.7,93.8,263.8,324.4,176.2,-60.03,0.354,116.2,0,1.749,0.029,0,0,1.946,0.067,0,0.095,5.657,0.067,0,0.005,2.515,0.144,0,0,1.686,0.24,0,0,2.308,0.307,0
"2021-05-21 16:00:00",3018,14.03,11.32,34.98,1.888,194.7,1.927,0.573,2.255,210.9,2.255,179.3,35.13,704.2875,641,218.2,269.1,328.1,423,-59.2,0.341,363.8,0,1.761,0.029,0,0,1.973,0.067,0,0.095,5.66,0.067,0,0.004,2.504,0.144,0,0,1.654,0.245,0,0,2.29,0.311,0
"2021-05-21 17:00:00",3019,13.96,12.08,33.69,1.894,189.1,1.935,0.565,1.994,211.2,1.994,191.6,28.66,704.5436,792.8,265.3,276,329.8,527.4,-54.01,0.335,473.4,0,1.736,0.029,0,0,1.955,0.067,0,0.095,5.674,0.067,0,0.005,2.514,0.144,0,0,1.68,0.24,0,0,2.282,0.302,0
"2021-05-21 18:00:00",3020,13.93,12.19,35.72,1.904,196.1,1.946,0.554,1.746,205.8,1.746,194.9,31.81,704.6793,552.2,186.8,299.4,328.7,364.5,-29.55,0.343,334.9,0,1.776,0.029,0,0,1.954,0.067,0,0.103,6.016,0.067,0,0.005,2.533,0.144,0,0,1.66,0.254,0,0,2.318,0.312,0
"2021-05-21 19:00:00",3021,13.96,12.23,34.92,1.913,196.6,1.956,0.544,1.333,323,1.333,186.6,53.84,704.7006,422.9,145.2,321.8,328.6,278.8,-6.815,0.345,272,0,1.784,0.029,0,0,2.018,0.067,0,0.107,6.161,0.067,0,0.006,2.549,0.144,0,0,1.662,0.244,0,0,2.291,0.312,0
