"TOA5","CR1000_7","CR1000","32128","CR1000.Std.32.05","CPU:JW_UB_wx_v2.CR1","59267","One_Hour"
"TIMESTAMP","RECORD","BattV_Min","AirTC_Avg","RH","DT_Avg","Q_Avg","TCDT_Avg","DBTCDT_Avg","WS_ms_Avg","WindDir","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT","SWin_Avg","SWout_Avg","LWin_Avg","LWout_Avg","SWnet_Avg","LWnet_Avg","SWalbedo_Avg","NR_Avg","VWC_5cm_Avg","Ka_5cm_Avg","T_5cm_Avg","BulkEC_5cm_Avg","VWC_10cm_Avg","Ka_10cm_Avg","T_10cm_Avg","BulkEC_10cm_Avg","VWC_20cm_Avg","Ka_20cm_Avg","T_20cm_Avg","BulkEC_20cm_Avg","VWC_30cm_Avg","Ka_30cm_Avg","T_30cm_Avg","BulkEC_30cm_Avg","VWC_40cm_Avg","Ka_40cm_Avg","T_40cm_Avg","BulkEC_40cm_Avg","VWC_50cm_Avg","Ka_50cm_Avg","T_50cm_Avg","BulkEC_50cm_Avg","VWC_60cm_Avg","Ka_60cm_Avg","T_60cm_Avg","BulkEC_60cm_Avg","VWC_75cm_Avg","Ka_75cm_Avg","T_75cm_Avg","BulkEC_75cm_Avg","VWC_100cm_Avg","Ka_100cm_Avg","T_100cm_Avg","BulkEC_100cm_Avg"
"TS","RN","Volts","Deg C","%","","","","","meters/second","degrees","meters/second","Deg","Deg","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","W/m^2","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m","m^3/m^3","unitless","Deg C","dS/m"
"","","Min","Avg","Smp","Avg","Avg","Avg","Avg","Avg","Smp","WVc","WVc","WVc","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
"2022-01-10 21:00:00",1248,12.51,0.837,38.93,1.177,176.4,1.179,1.151,0.31,264.3,0.31,233.5,50.13,35.05,22.45,273.7,302.2,12.56,-27.81,0.664,-15.25,0,0.982,-3.57,0,0,1.025,-3.176,0,0,1.03,-2.384,0,0,1.149,-1.76,0,0,1.161,-1.134,0,0,1.182,-0.544,0,0.014,2.78,-0.201,0,0.039,3.579,0.029,0,0,2.205,0.489,0
"2022-01-10 22:00:00",1249,12.54,0.077,45.52,1.181,180.8,1.181,1.149,0.145,190.9,0.145,203.2,75.14,51.05,18.36,272.2,299.8,32.55,-26.76,0.536,5.783,0,0.974,-3.585,0,0,1.026,-3.194,0,0,1.02,-2.393,0,0,1.161,-1.765,0,0,1.165,-1.12,0,0,1.193,-0.544,0,0.014,2.786,-0.201,0,0.042,3.652,0.029,0,0,2.203,0.489,0
"2022-01-10 23:00:00",1250,12.54,-1.441,69.31,1.186,181.7,1.183,1.147,0.028,214.6,0.028,234.8,29.06,13.18,7.65,266,294.3,5.512,-27.41,0.579,-21.9,0,0.972,-3.599,0,0,1.005,-3.209,0,0,1.015,-2.402,0,0,1.16,-1.76,0,0,1.182,-1.129,0,0,1.2,-0.544,0,0.013,2.766,-0.201,0,0.043,3.706,0.029,0,0,2.234,0.489,0
"2022-01-11 00:00:00",1251,12.54,-4.205,67.67,1.193,182.4,1.184,1.146,0.04,166.1,0.04,194,18.46,2.098,1.362,258.1,285.7,0.729,-27.03,0.661,-26.3,0,0.96,-3.622,0,0,1.02,-3.218,0,0,1.035,-2.402,0,0,1.164,-1.778,0,0,1.18,-1.134,0,0,1.185,-0.544,0,0.014,2.773,-0.201,0,0.041,3.641,0.029,0,0,2.223,0.489,0
"2022-01-11 01:00:00",1252,12.54,-5.643,50.19,1.197,183.4,1.185,1.145,0.374,166.7,0.374,178,22.97,-1.239,-0.001,253,280.4,-1.235,-26.89,0.002,-28.13,0,0.975,-3.627,0,0,1.012,-3.232,0,0,1.027,-2.412,0,0,1.158,-1.774,0,0,1.191,-1.134,0,0,1.149,-0.544,0,0.013,2.756,-0.201,0,0.042,3.671,0.029,0,0,2.21,0.485,0
"2022-01-11 02:00:00",1253,12.53,-5.837,64.61,1.2,179,1.187,1.143,0.439,159.8,0.439,184.1,31.92,-1.561,-0.001,251.4,278.5,-1.563,-27.3,0.003,-28.87,0,0.952,-3.646,0,0,1.019,-3.251,0,0,1.024,-2.421,0,0,1.19,-1.779,0,0,1.181,-1.134,0,0,1.193,-0.544,0,0.013,2.756,-0.201,0,0.043,3.681,0.029,0,0,2.211,0.489,0
"2022-01-11 03:00:00",1254,12.53,-8.51,72.13,1.207,180.9,1.188,1.142,0.225,183.2,0.225,211.6,53.07,-1.376,-0.001,247.6,271.7,-1.375,-25.68,0.001,-27.06,0,0.984,-3.646,0,0,1.034,-3.251,0,0,1.022,-2.436,0,0,1.178,-1.779,0,0,1.181,-1.134,0,0,1.197,-0.549,0,0.013,2.766,-0.201,0,0.044,3.717,0.029,0,0,2.212,0.48,0
"2022-01-11 04:00:00",1255,12.52,-11.05,79.32,1.213,184.1,1.189,1.141,0.012,243.2,0.012,235.2,26.87,-1.346,-0.003,236,263.6,-1.344,-27.25,0.002,-28.59,0,0.975,-3.655,0,0,1.027,-3.255,0,0,1.024,-2.44,0,0,1.154,-1.784,0,0,1.182,-1.134,0,0,1.185,-0.553,0,0.013,2.76,-0.201,0,0.043,3.684,0.034,0,0,2.22,0.485,0
