Datetime,depth1,depth2,depth3
10/31/2021 12:00,,,20
11/1/2021 12:00,,,25
11/2/2021 12:00,,30,30
11/3/2021 12:00,,25,25
11/4/2021 12:00,,25,25
11/5/2021 12:00,,25,25
11/6/2021 12:00,,25,25
11/7/2021 12:00,,25,25
11/8/2021 12:00,,25,25
11/9/2021 12:00,,,25
11/10/2021 12:00,,25,25
11/11/2021 12:00,,25,25
11/12/2021 12:00,,30,30
11/13/2021 12:00,,30,35
11/14/2021 12:00,,30,35
11/15/2021 12:00,,30,30
11/16/2021 12:00,,30,30
11/17/2021 12:00,,35,35
11/18/2021 12:00,,30,30
11/19/2021 12:00,,30,30
11/20/2021 12:00,,35,40
11/21/2021 12:00,45,40,45
11/22/2021 12:00,,40,40
11/23/2021 12:00,,40,40
11/24/2021 12:00,,40,40
11/25/2021 12:00,,40,40
11/26/2021 12:00,,35,35
11/27/2021 12:00,,35,35
11/28/2021 12:00,,35,35
11/29/2021 12:00,,35,35
11/30/2021 12:00,,35,35
12/1/2021 12:00,,35,35
12/2/2021 12:00,,35,35
12/3/2021 12:00,,35,35
12/4/2021 12:00,,35,35
12/5/2021 12:00,,30,35
12/6/2021 12:00,,30,35
12/7/2021 12:00,,35,35
12/8/2021 12:00,,35,35
12/9/2021 12:00,,40,40
12/10/2021 12:00,45,45,50
12/11/2021 12:00,45,45,45
12/12/2021 12:00,45,45,45
12/13/2021 12:00,45,45,45
12/14/2021 12:00,,40,45
12/15/2021 12:00,45,45,45
12/16/2021 12:00,45,45,50
12/17/2021 12:00,45,45,45
12/18/2021 12:00,55,55,55
12/19/2021 12:00,50,50,50
12/20/2021 12:00,50,50,50
12/21/2021 12:00,50,50,50
12/22/2021 12:00,45,45,45
12/23/2021 12:00,45,45,45
12/24/2021 12:00,70,70,75
12/25/2021 12:00,80,80,75
12/26/2021 12:00,75,75,75
12/27/2021 12:00,,,75
12/28/2021 12:00,85,85,80
12/29/2021 12:00,85,85,80
12/30/2021 12:00,90,90,90
12/31/2021 12:00,95,95,90
1/1/2022 12:00,95,95,95
1/2/2022 12:00,95,85,90
1/3/2022 12:00,95,85,90
1/4/2022 12:00,90,85,90
1/5/2022 12:00,90,85,90
1/6/2022 12:00,105,105,105
1/7/2022 12:00,130,125,125
1/8/2022 12:00,130,125,125
1/9/2022 12:00,135,130,130
1/10/2022 12:00,135,130,130
1/11/2022 12:00,130,125,120
1/12/2022 12:00,125,120,115
1/13/2022 12:00,125,120,115
1/14/2022 12:00,125,120,115
1/15/2022 12:00,125,120,115
1/16/2022 12:00,120,120,110
1/17/2022 12:00,120,115,110
1/18/2022 12:00,115,115,110
1/19/2022 12:00,115,115,105
1/20/2022 12:00,115,115,105
1/21/2022 12:00,115,115,110
1/22/2022 12:00,115,115,110
1/23/2022 12:00,115,115,110
1/24/2022 12:00,115,115,110
1/25/2022 12:00,120,115,110
1/26/2022 12:00,115,115,110
1/27/2022 12:00,115,115,110
1/28/2022 12:00,115,115,110
1/29/2022 12:00,110,110,105
1/30/2022 12:00,110,110,105
1/31/2022 12:00,110,105,105
2/1/2022 12:00,110,110,105
2/2/2022 12:00,110,110,105
2/3/2022 12:00,110,110,105
2/4/2022 12:00,110,105,105
2/5/2022 12:00,110,105,105
2/6/2022 12:00,115,110,110
2/7/2022 12:00,110,110,105
2/8/2022 12:00,105,105,105
2/9/2022 12:00,110,105,105
2/10/2022 12:00,110,105,105
2/11/2022 12:00,110,110,110
2/12/2022 12:00,115,110,110
2/13/2022 12:00,115,110,110
2/14/2022 12:00,110,110,110
2/15/2022 12:00,110,105,105
2/16/2022 12:00,110,110,105
2/17/2022 12:00,115,115,115
2/18/2022 12:00,115,115,110
2/19/2022 12:00,110,110,110
2/20/2022 12:00,110,110,110
2/21/2022 12:00,110,105,105
2/22/2022 12:00,115,115,110
2/23/2022 12:00,120,120,115
2/24/2022 12:00,120,120,110
2/25/2022 12:00,120,120,110
2/26/2022 12:00,120,120,110
2/27/2022 12:00,120,120,110
2/28/2022 12:00,115,115,110
3/1/2022 12:00,115,115,110
3/2/2022 12:00,115,115,110
3/3/2022 12:00,110,110,110
3/4/2022 12:00,110,110,105
3/5/2022 12:00,115,115,115
3/6/2022 12:00,125,120,120
3/7/2022 12:00,125,120,120
3/8/2022 12:00,125,120,115
3/9/2022 12:00,130,130,125
3/10/2022 12:00,130,130,130
3/11/2022 12:00,130,125,125
3/12/2022 12:00,125,125,125
3/13/2022 12:00,125,120,125
3/14/2022 12:00,130,125,125
3/15/2022 12:00,125,125,125
3/16/2022 12:00,125,125,125
3/17/2022 12:00,135,135,130
3/18/2022 12:00,135,135,130
3/19/2022 12:00,135,130,130
3/20/2022 12:00,130,125,125
3/21/2022 12:00,130,130,125
