Datetime,depth1
12/4/2021 12:00,15
12/5/2021 12:00,15
12/6/2021 12:00,15
12/7/2021 12:00,15
12/8/2021 12:00,15
12/9/2021 12:00,25
12/10/2021 12:00,35
12/11/2021 12:00,35
12/12/2021 12:00,30
12/13/2021 12:00,30
12/14/2021 12:00,25
12/15/2021 12:00,35
12/16/2021 12:00,35
12/17/2021 12:00,45
12/18/2021 12:00,40
12/19/2021 12:00,35
12/20/2021 12:00,35
12/21/2021 12:00,30
12/22/2021 12:00,30
12/23/2021 12:00,35
12/24/2021 12:00,55
12/25/2021 12:00,60
12/26/2021 12:00,55
12/27/2021 12:00,65
12/28/2021 12:00,65
12/29/2021 12:00,65
12/30/2021 12:00,
12/31/2021 12:00,75
1/1/2022 12:00,75
1/2/2022 12:00,70
1/3/2022 12:00,70
1/4/2022 12:00,70
1/5/2022 12:00,
1/6/2022 12:00,
1/7/2022 12:00,105
1/8/2022 12:00,110
1/9/2022 12:00,110
1/10/2022 12:00,110
1/11/2022 12:00,105
1/12/2022 12:00,100
1/13/2022 12:00,95
1/14/2022 12:00,95
1/15/2022 12:00,95
1/16/2022 12:00,95
1/17/2022 12:00,90
1/18/2022 12:00,90
1/19/2022 12:00,85
1/20/2022 12:00,90
1/21/2022 12:00,90
1/22/2022 12:00,90
1/23/2022 12:00,90
1/24/2022 12:00,85
1/25/2022 12:00,85
1/26/2022 12:00,85
1/27/2022 12:00,85
1/28/2022 12:00,85
1/29/2022 12:00,85
1/30/2022 12:00,85
1/31/2022 12:00,85
2/1/2022 12:00,85
2/2/2022 12:00,85
2/3/2022 12:00,85
2/4/2022 12:00,80
2/5/2022 12:00,80
2/6/2022 12:00,85
2/7/2022 12:00,85
2/8/2022 12:00,85
2/9/2022 12:00,85
2/10/2022 12:00,85
2/11/2022 12:00,85
2/12/2022 12:00,90
2/13/2022 12:00,85
2/14/2022 12:00,85
2/15/2022 12:00,85
2/16/2022 12:00,85
2/17/2022 12:00,90
2/18/2022 12:00,90
2/19/2022 12:00,90
2/20/2022 12:00,85
2/21/2022 12:00,85
2/22/2022 12:00,90
2/23/2022 12:00,90
2/24/2022 12:00,90
2/25/2022 12:00,95
2/26/2022 12:00,95
2/27/2022 12:00,90
2/28/2022 12:00,90
3/1/2022 12:00,90
3/2/2022 12:00,90
3/3/2022 12:00,85
3/4/2022 12:00,85
3/5/2022 12:00,90
3/6/2022 12:00,95
3/7/2022 12:00,95
3/8/2022 12:00,95
3/9/2022 12:00,105
3/10/2022 12:00,105
3/11/2022 12:00,105
3/12/2022 12:00,100
3/13/2022 12:00,100
3/14/2022 12:00,105
3/15/2022 12:00,100
3/16/2022 12:00,100
3/17/2022 12:00,105
3/18/2022 12:00,105
3/19/2022 12:00,100
3/20/2022 12:00,100
3/21/2022 12:00,100
